1,STUDYID
2,AGE
3,GENDER
4,TIMEHOURS
5,1007_s_at
6,1053_at
7,117_at
8,121_at
9,1255_g_at
10,1294_at
11,1316_at
12,1320_at
13,1405_i_at
14,1431_at
15,1438_at
16,1487_at
17,1494_f_at
18,1598_g_at
19,160020_at
20,1729_at
21,177_at
22,1773_at
23,179_at
24,1861_at
25,200000_s_at
26,200001_at
27,200002_at
28,200003_s_at
29,200004_at
30,200005_at
31,200006_at
32,200007_at
33,200008_s_at
34,200009_at
35,200010_at
36,200011_s_at
37,200012_x_at
38,200013_at
39,200014_s_at
40,200015_s_at
41,200016_x_at
42,200017_at
43,200018_at
44,200019_s_at
45,200020_at
46,200021_at
47,200022_at
48,200023_s_at
49,200024_at
50,200025_s_at
51,200026_at
52,200027_at
53,200028_s_at
54,200029_at
55,200030_s_at
56,200031_s_at
57,200032_s_at
58,200033_at
59,200034_s_at
60,200035_at
61,200036_s_at
62,200037_s_at
63,200038_s_at
64,200039_s_at
65,200040_at
66,200041_s_at
67,200042_at
68,200043_at
69,200044_at
70,200045_at
71,200046_at
72,200047_s_at
73,200048_s_at
74,200049_at
75,200050_at
76,200051_at
77,200052_s_at
78,200053_at
79,200054_at
80,200055_at
81,200056_s_at
82,200057_s_at
83,200058_s_at
84,200059_s_at
85,200060_s_at
86,200061_s_at
87,200062_s_at
88,200063_s_at
89,200064_at
90,200065_s_at
91,200066_at
92,200067_x_at
93,200068_s_at
94,200069_at
95,200070_at
96,200071_at
97,200072_s_at
98,200073_s_at
99,200074_s_at
100,200075_s_at
101,200076_s_at
102,200077_s_at
103,200078_s_at
104,200079_s_at
105,200080_s_at
106,200081_s_at
107,200082_s_at
108,200083_at
109,200084_at
110,200085_s_at
111,200086_s_at
112,200087_s_at
113,200088_x_at
114,200089_s_at
115,200090_at
116,200091_s_at
117,200092_s_at
118,200093_s_at
119,200094_s_at
120,200095_x_at
121,200096_s_at
122,200097_s_at
123,200098_s_at
124,200099_s_at
125,200593_s_at
126,200594_x_at
127,200595_s_at
128,200596_s_at
129,200597_at
130,200598_s_at
131,200599_s_at
132,200600_at
133,200601_at
134,200602_at
135,200603_at
136,200604_s_at
137,200605_s_at
138,200606_at
139,200607_s_at
140,200608_s_at
141,200609_s_at
142,200610_s_at
143,200611_s_at
144,200612_s_at
145,200613_at
146,200614_at
147,200615_s_at
148,200616_s_at
149,200617_at
150,200618_at
151,200619_at
152,200620_at
153,200621_at
154,200622_x_at
155,200623_s_at
156,200624_s_at
157,200625_s_at
158,200626_s_at
159,200627_at
160,200628_s_at
161,200629_at
162,200630_x_at
163,200631_s_at
164,200632_s_at
165,200633_at
166,200634_at
167,200635_s_at
168,200636_s_at
169,200637_s_at
170,200638_s_at
171,200639_s_at
172,200640_at
173,200641_s_at
174,200642_at
175,200643_at
176,200644_at
177,200645_at
178,200646_s_at
179,200647_x_at
180,200648_s_at
181,200649_at
182,200650_s_at
183,200651_at
184,200652_at
185,200653_s_at
186,200654_at
187,200655_s_at
188,200656_s_at
189,200657_at
190,200658_s_at
191,200659_s_at
192,200660_at
193,200661_at
194,200662_s_at
195,200663_at
196,200664_s_at
197,200665_s_at
198,200666_s_at
199,200667_at
200,200668_s_at
201,200669_s_at
202,200670_at
203,200671_s_at
204,200672_x_at
205,200673_at
206,200674_s_at
207,200675_at
208,200676_s_at
209,200677_at
210,200678_x_at
211,200679_x_at
212,200680_x_at
213,200681_at
214,200682_s_at
215,200683_s_at
216,200684_s_at
217,200685_at
218,200686_s_at
219,200687_s_at
220,200688_at
221,200689_x_at
222,200690_at
223,200691_s_at
224,200692_s_at
225,200693_at
226,200694_s_at
227,200695_at
228,200696_s_at
229,200697_at
230,200698_at
231,200699_at
232,200700_s_at
233,200701_at
234,200702_s_at
235,200703_at
236,200704_at
237,200705_s_at
238,200706_s_at
239,200707_at
240,200708_at
241,200709_at
242,200710_at
243,200711_s_at
244,200712_s_at
245,200713_s_at
246,200714_x_at
247,200715_x_at
248,200716_x_at
249,200717_x_at
250,200718_s_at
251,200719_at
252,200720_s_at
253,200721_s_at
254,200722_s_at
255,200723_s_at
256,200724_at
257,200725_x_at
258,200726_at
259,200727_s_at
260,200728_at
261,200729_s_at
262,200730_s_at
263,200731_s_at
264,200732_s_at
265,200733_s_at
266,200734_s_at
267,200735_x_at
268,200736_s_at
269,200737_at
270,200738_s_at
271,200739_s_at
272,200740_s_at
273,200741_s_at
274,200742_s_at
275,200743_s_at
276,200744_s_at
277,200745_s_at
278,200746_s_at
279,200747_s_at
280,200748_s_at
281,200749_at
282,200750_s_at
283,200751_s_at
284,200752_s_at
285,200753_x_at
286,200754_x_at
287,200755_s_at
288,200756_x_at
289,200757_s_at
290,200758_s_at
291,200759_x_at
292,200760_s_at
293,200761_s_at
294,200762_at
295,200763_s_at
296,200764_s_at
297,200765_x_at
298,200766_at
299,200767_s_at
300,200768_s_at
301,200769_s_at
302,200770_s_at
303,200771_at
304,200772_x_at
305,200773_x_at
306,200774_at
307,200775_s_at
308,200776_s_at
309,200777_s_at
310,200778_s_at
311,200779_at
312,200780_x_at
313,200781_s_at
314,200782_at
315,200783_s_at
316,200784_s_at
317,200785_s_at
318,200786_at
319,200787_s_at
320,200788_s_at
