Virus,Probe Set ID,weight
H1N1,201956_s_at,-0.026341615875717147
H1N1,219180_s_at,-0.026341615875717147
H1N1,213353_at,-0.026341615875717147
H1N1,201707_at,-0.026341615875717147
H1N1,208881_x_at,-0.026341615875717147
H1N1,203504_s_at,-0.026341615875717147
H1N1,203335_at,-0.026341615875717147
H1N1,221833_at,-0.026341615875717147
H1N1,211215_x_at,-0.026341615875717147
H1N1,203231_s_at,-0.026341615875717147
H1N1,203979_at,-0.026341615875717147
H1N1,202218_s_at,-0.026341615875717147
H1N1,211110_s_at,-0.026341615875717147
H1N1,204573_at,-0.026341615875717147
H1N1,201801_s_at,-0.026341615875717147
H1N1,204515_at,-0.026341615875717147
H1N1,204981_at,-0.026341615875717147
H1N1,210045_at,-0.026341615875717147
H1N1,218322_s_at,-0.026341615875717147
H1N1,201413_at,-0.026341615875717147
H1N1,205420_at,-0.026341615875717147
H1N1,221605_s_at,-0.026341615875717147
H1N1,204890_s_at,-0.026341615875717147
H1N1,204032_at,-0.026341615875717147
H1N1,207102_at,-0.026341615875717147
H1N1,205769_at,-0.026341615875717147
H1N1,221603_at,-0.026341615875717147
H1N1,205160_at,-0.026341615875717147
H1N1,208962_s_at,-0.026341615875717147
H1N1,217584_at,-0.026341615875717147
H1N1,207813_s_at,-0.026341615875717147
H1N1,202619_s_at,0.051158372955880715
H1N1,210986_s_at,0.051158372955880715
H1N1,204627_s_at,0.051158372955880715
H1N1,201058_s_at,0.051158372955880715
H1N1,200665_s_at,0.051158372955880715
H1N1,202219_at,0.051158372955880715
H1N1,204475_at,0.051158372955880715
H1N1,201125_s_at,0.051158372955880715
H1N1,217523_at,0.051158372955880715
H1N1,213988_s_at,0.051158372955880715
H1N1,202445_s_at,0.051158372955880715
H1N1,212077_at,0.051158372955880715
H1N1,214866_at,0.051158372955880715
H1N1,200983_x_at,0.051158372955880715
H1N1,221729_at,0.051158372955880715
H1N1,201042_at,0.051158372955880715
H1N1,210512_s_at,0.051158372955880715
H1N1,204051_s_at,0.051158372955880715
H1N1,202555_s_at,0.051158372955880715
H1N1,202663_at,0.051158372955880715
H1N1,201261_x_at,0.051158372955880715
H1N1,208608_s_at,0.051158372955880715
H1N1,202627_s_at,0.051158372955880715
H1N1,205991_s_at,0.051158372955880715
H1N1,216005_at,0.051158372955880715
H1N1,214174_s_at,0.051158372955880715
H1N1,215719_x_at,0.051158372955880715
H1N1,214085_x_at,0.051158372955880715
H1N1,209344_at,0.051158372955880715
H1N1,211981_at,0.051158372955880715
H1N1,211966_at,0.051158372955880715
H1N1,203441_s_at,0.051158372955880715
H1N1,202312_s_at,0.051158372955880715
H1N1,206580_s_at,0.051158372955880715
H1N1,216470_x_at,0.051158372955880715
H1N1,201148_s_at,0.051158372955880715
H1N1,209875_s_at,0.051158372955880715
H1N1,201666_at,0.051158372955880715
H1N1,202363_at,0.051158372955880715
H1N1,213790_at,0.051158372955880715
H1N1,205120_s_at,0.051158372955880715
H1N1,202644_s_at,0.051158372955880715
H1N1,207835_at,0.051158372955880715
H1N1,204136_at,0.051158372955880715
H1N1,200967_at,0.051158372955880715
H1N1,206315_at,0.051158372955880715
H1N1,209946_at,0.051158372955880715
H1N1,216841_s_at,0.0014177536160174295
H1N1,205020_s_at,0.0014177536160174295
H1N1,203502_at,0.0014177536160174295
H1N1,211302_s_at,0.0014177536160174295
H1N1,206049_at,0.0014177536160174295
H1N1,206925_at,0.0014177536160174295
H1N1,205170_at,0.0014177536160174295
H1N1,211352_s_at,0.0014177536160174295
H1N1,201317_s_at,0.0014177536160174295
H1N1,217738_at,0.0014177536160174295
H1N1,213596_at,0.0014177536160174295
H1N1,208992_s_at,0.0014177536160174295
H1N1,210895_s_at,0.0014177536160174295
H1N1,204834_at,0.0014177536160174295
H1N1,209193_at,0.0014177536160174295
H1N1,205118_at,0.0014177536160174295
H1N1,216950_s_at,0.0014177536160174295
H1N1,205469_s_at,0.0014177536160174295
H1N1,215719_x_at,0.0014177536160174295
H1N1,203964_at,0.0014177536160174295
H1N1,213716_s_at,0.0014177536160174295
H1N1,211367_s_at,0.0014177536160174295
H1N1,209545_s_at,0.0014177536160174295
H1N1,200989_at,0.0014177536160174295
H1N1,210294_at,0.0014177536160174295
H1N1,211012_s_at,0.0014177536160174295
H1N1,211513_s_at,0.0014177536160174295
H1N1,202638_s_at,0.0014177536160174295
H1N1,201008_s_at,0.0014177536160174295
H1N1,202180_s_at,0.0014177536160174295
H1N1,206359_at,0.0014177536160174295
H1N1,214329_x_at,0.0014177536160174295
H1N1,205841_at,0.0014177536160174295
H1N1,213136_at,0.0014177536160174295
H1N1,204963_at,0.0014177536160174295
H1N1,205269_at,0.0014177536160174295
H1N1,210001_s_at,0.0014177536160174295
H1N1,202531_at,0.0014177536160174295
H1N1,205159_at,0.0014177536160174295
H1N1,202644_s_at,0.0014177536160174295
H1N1,213800_at,0.0014177536160174295
H1N1,201695_s_at,0.0014177536160174295
H1N1,212067_s_at,0.0014177536160174295
H1N1,209761_s_at,0.0014177536160174295
H1N1,204786_s_at,0.0014177536160174295
H1N1,213831_at,0.0014177536160174295
H1N1,202284_s_at,0.0014177536160174295
H1N1,207686_s_at,0.0014177536160174295
H1N1,205992_s_at,0.0014177536160174295
H1N1,203275_at,0.0014177536160174295
H1N1,33304_at,0.0014177536160174295
H1N1,AFFX-HUMISGF3A/M97935_MB_at,0.0014177536160174295
H1N1,201786_s_at,0.0014177536160174295
H1N1,206911_at,0.0014177536160174295
H1N1,203234_at,0.0014177536160174295
H1N1,222011_s_at,0.04495275613500192
H1N1,211931_s_at,0.04495275613500192
H1N1,207939_x_at,0.04495275613500192
H1N1,211623_s_at,0.04495275613500192
H1N1,208673_s_at,0.04495275613500192
H1N1,208805_at,0.04495275613500192
H1N1,217408_at,0.04495275613500192
H1N1,201252_at,0.04495275613500192
H1N1,216088_s_at,0.04495275613500192
H1N1,207614_s_at,0.04495275613500192
H1N1,213897_s_at,0.04495275613500192
H1N1,221264_s_at,0.04495275613500192
H1N1,203260_at,0.04495275613500192
H1N1,200024_at,0.04495275613500192
H1N1,208726_s_at,0.04495275613500192
H1N1,200708_at,0.04495275613500192
H1N1,201923_at,0.04495275613500192
H1N1,200877_at,0.04495275613500192
H1N1,200990_at,0.04495275613500192
H1N1,203663_s_at,0.04495275613500192
H1N1,201519_at,0.04495275613500192
H1N1,201456_s_at,0.04495275613500192
H1N1,205644_s_at,0.04495275613500192
H1N1,212296_at,0.04495275613500192
H1N1,204559_s_at,0.04495275613500192
H1N1,201388_at,0.04495275613500192
H1N1,206055_s_at,0.04495275613500192
H1N1,208852_s_at,0.04495275613500192
H1N1,217850_at,0.04495275613500192
H1N1,201143_s_at,0.04495275613500192
H1N1,208692_at,0.04495275613500192
H1N1,206621_s_at,0.04495275613500192
H1N1,201608_s_at,0.04495275613500192
H1N1,209972_s_at,0.04495275613500192
H1N1,214335_at,0.04495275613500192
H1N1,209609_s_at,0.04495275613500192
H1N1,204133_at,0.04495275613500192
H1N1,200753_x_at,0.04495275613500192
H1N1,221919_at,0.04495275613500192
H1N1,221915_s_at,0.04495275613500192
H1N1,214359_s_at,0.04495275613500192
H1N1,222036_s_at,0.04495275613500192
H1N1,201404_x_at,0.04495275613500192
H1N1,204023_at,0.04495275613500192
H1N1,217833_at,0.04495275613500192
H1N1,200681_at,0.04495275613500192
H1N1,202107_s_at,0.04495275613500192
H1N1,203401_at,0.04495275613500192
H1N1,200820_at,0.04495275613500192
H1N1,201459_at,0.04495275613500192
H1N1,205292_s_at,0.04495275613500192
H1N1,202858_at,0.04495275613500192
H1N1,201115_at,0.04495275613500192
H1N1,200074_s_at,0.04495275613500192
H1N1,202077_at,0.04495275613500192
H1N1,214380_at,0.04495275613500192
H1N1,200913_at,0.04495275613500192
H1N1,214167_s_at,0.04495275613500192
H1N1,214060_at,0.04495275613500192
H1N1,200030_s_at,0.04495275613500192
H1N1,201516_at,0.04495275613500192
H1N1,200687_s_at,0.04495275613500192
H1N1,221480_at,0.04495275613500192
H1N1,212426_s_at,0.04495275613500192
H1N1,208956_x_at,0.04495275613500192
H1N1,202715_at,0.04495275613500192
H1N1,209104_s_at,0.04495275613500192
H1N1,200028_s_at,0.04495275613500192
H1N1,200875_s_at,0.04495275613500192
H1N1,202246_s_at,0.04495275613500192
H1N1,204459_at,0.04495275613500192
H1N1,222034_at,0.04495275613500192
H1N1,215780_s_at,0.04495275613500192
H1N1,201066_at,0.04495275613500192
H1N1,201770_at,0.04495275613500192
H1N1,210983_s_at,0.04495275613500192
H1N1,214805_at,0.04495275613500192
H1N1,204744_s_at,0.04495275613500192
H1N1,211804_s_at,0.04495275613500192
H1N1,216237_s_at,0.04495275613500192
H1N1,201600_at,0.04495275613500192
H1N1,207982_at,0.06915836603351479
H1N1,205020_s_at,0.06915836603351479
H1N1,216992_s_at,0.06915836603351479
H1N1,210527_x_at,0.06915836603351479
H1N1,212813_at,0.06915836603351479
H1N1,216503_s_at,0.06915836603351479
H1N1,215381_at,0.06915836603351479
H1N1,216997_x_at,0.06915836603351479
H1N1,208845_at,0.06915836603351479
H1N1,222075_s_at,0.06915836603351479
H1N1,201463_s_at,0.06915836603351479
H1N1,209649_at,0.06915836603351479
H1N1,206647_at,0.06915836603351479
H1N1,220493_at,0.06915836603351479
H1N1,207022_s_at,0.06915836603351479
H1N1,218952_at,0.06915836603351479
H1N1,208271_at,0.06915836603351479
H1N1,206044_s_at,0.06915836603351479
H1N1,202554_s_at,0.06915836603351479
H1N1,221611_s_at,0.06915836603351479
H1N1,37433_at,0.06915836603351479
H1N1,217009_at,0.06915836603351479
H1N1,220627_at,0.06915836603351479
H1N1,200800_s_at,0.06915836603351479
H1N1,219394_at,0.06915836603351479
H1N1,214506_at,0.06915836603351479
H1N1,202890_at,0.06915836603351479
H1N1,209443_at,0.003274601083281972
H1N1,214953_s_at,0.003274601083281972
H1N1,201666_at,0.003274601083281972
H1N1,203887_s_at,0.003274601083281972
H1N1,203186_s_at,0.003274601083281972
H1N1,209099_x_at,0.003274601083281972
H1N1,205537_s_at,0.003274601083281972
H1N1,205303_at,0.003274601083281972
H1N1,210512_s_at,0.003274601083281972
H1N1,208820_at,0.003274601083281972
H1N1,210809_s_at,0.003274601083281972
H1N1,204619_s_at,0.003274601083281972
H1N1,209875_s_at,0.003274601083281972
H1N1,204204_at,0.010119409330583059
H1N1,202912_at,0.010119409330583059
H1N1,201642_at,0.010119409330583059
H1N1,205568_at,0.010119409330583059
H1N1,205118_at,0.010119409330583059
H1N1,202948_at,0.010119409330583059
H1N1,211302_s_at,0.010119409330583059
H1N1,212930_at,0.010119409330583059
H1N1,205067_at,0.010119409330583059
H1N1,216016_at,0.010119409330583059
H1N1,206765_at,0.010119409330583059
H1N1,202625_at,0.010119409330583059
H1N1,217738_at,0.010119409330583059
H1N1,205891_at,0.010119409330583059
H1N1,205209_at,0.010119409330583059
H1N1,211488_s_at,0.010119409330583059
H1N1,204191_at,0.010119409330583059
H1N1,211434_s_at,0.010119409330583059
H1N1,205508_at,0.010119409330583059
H1N1,210845_s_at,0.010119409330583059
H1N1,201925_s_at,0.010119409330583059
H1N1,206577_at,0.010119409330583059
H1N1,202686_s_at,0.010119409330583059
H1N1,205153_s_at,0.010119409330583059
H1N1,201666_at,0.010119409330583059
H1N1,209220_at,0.010119409330583059
H1N1,204627_s_at,0.010119409330583059
H1N1,209028_s_at,0.010119409330583059
H1N1,203964_at,0.010119409330583059
H1N1,201181_at,0.010119409330583059
H1N1,205327_s_at,0.010119409330583059
H1N1,206136_at,0.010119409330583059
H1N1,201235_s_at,0.010119409330583059
H1N1,219890_at,0.010119409330583059
H1N1,203971_at,0.010119409330583059
H1N1,210176_at,0.010119409330583059
H1N1,206975_at,0.010119409330583059
H1N1,200989_at,0.010119409330583059
H1N1,202687_s_at,0.010119409330583059
H1N1,209906_at,0.010119409330583059
H1N1,204533_at,0.010119409330583059
H1N1,211661_x_at,0.010119409330583059
H1N1,208183_at,0.010119409330583059
H1N1,204897_at,0.010119409330583059
H1N1,212290_at,0.010119409330583059
H1N1,205266_at,0.010119409330583059
H1N1,221085_at,0.010119409330583059
H1N1,203687_at,0.010119409330583059
H1N1,204118_at,0.010119409330583059
H1N1,205579_at,0.010119409330583059
H1N1,203915_at,0.010119409330583059
H1N1,202988_s_at,0.010119409330583059
H1N1,206508_at,0.010119409330583059
