TEAM	TIME	CHALLENGE	GENESYMBOL	Pathway
Aganita	TIME24	SC2	TRIM10	HALLMARK_HEME_METABOLISM
Aganita	TIME24	SC2	ACSL6	HALLMARK_HEME_METABOLISM
Aganita	TIME24	SC2	ACP5	HALLMARK_HEME_METABOLISM
Aganita	TIME24	SC2	RHD	HALLMARK_HEME_METABOLISM
Aganita	TIME24	SC2	GYPB	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ABCB6	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ARHGEF12	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	BMP2K	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	BNIP3L	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	CA2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	CLIC2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	EIF2AK1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	FECH	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	GYPB	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	KEL	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	LPIN2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	LRP10	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	NFE2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	RAP1GAP	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	RHAG	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	RIOK3	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	SIDT2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	SLC25A37	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	SPTA1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	BSG	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	HBBP1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ABCG2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ACSL6	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ADIPOR1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ALAS2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ANK1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	BPGM	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	BTRC	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	C3	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	CA1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	CDC27	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	CTSE	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ELL2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ENDOD1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	EPB42	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	FBXO7	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	FBXO9	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	GATA1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	GLRX5	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	GYPA	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	GYPC	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	GYPE	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	H1F0	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	HBB	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	HBD	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	HBQ1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	HDGF	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	HEBP1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	HMBS	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	ICAM4	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	IGSF3	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	KLF1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	KLF3	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	MARK3	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	MBOAT2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	MKRN1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	MPP1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	MXI1	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	MYL4	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	OSBP2	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	PIGQ	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	PPP2R5B	HALLMARK_HEME_METABOLISM
Shosty	TIME24	SC2	PQLC1	HALLMARK_HEME_METABOLISM
