NAME	RATIO	NOM_pval	ADJ_pval	NEG_LOG10_FDR	INTERSECT
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0	1	1	0	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	1	1	0	
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0114942528735632	0.813407101270579	1	0	CD36
HALLMARK_DNA_REPAIR	0	1	1	0	
HALLMARK_NOTCH_SIGNALING	0	1	1	0	
HALLMARK_ANDROGEN_RESPONSE	0	1	1	0	
HALLMARK_PROTEIN_SECRETION	0.0104166666666667	0.843461260455878	1	0	GLA
HALLMARK_APICAL_SURFACE	0	1	1	0	
HALLMARK_HEDGEHOG_SIGNALING	0	1	1	0	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.00884955752212389	0.887770187285004	1	0	HSPA9
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	1	1	0	
HALLMARK_MYC_TARGETS_V1	0.005	0.979986159678836	1	0	SYNCRIP
HALLMARK_MYC_TARGETS_V2	0	1	1	0	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.015	0.738133901473821	1	0	SERPINE2,CXCL6,VCAN
HALLMARK_IL2_STAT5_SIGNALING	0.01	0.899033491713117	1	0	BHLHE40,CDKN1C
HALLMARK_SPERMATOGENESIS	0.00740740740740741	0.927184063382003	1	0	NEFH
HALLMARK_TGF_BETA_SIGNALING	0.0185185185185185	0.645846921370764	0.949774884368771	0.0223793189867546	CDKN1C
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.0204081632653061	0.609905114992263	0.924098659079186	0.0342816599418332	GPX3
HALLMARK_PEROXISOME	0.0192307692307692	0.590991189948942	0.923423734295222	0.0345989671890588	TOP2A,EPHX2
HALLMARK_MITOTIC_SPINDLE	0.02	0.528643105219735	0.891476099957948	0.0498902955570684	BIN1,KIF11,TOP2A,MARCKS
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0206185567010309	0.552715181973928	0.891476099957948	0.0498902955570684	OAS1,OASL
HALLMARK_E2F_TARGETS	0.02	0.528643105219735	0.891476099957948	0.0498902955570684	SYNCRIP,TOP2A,LBR,RAD21
HALLMARK_GLYCOLYSIS	0.02	0.528643105219735	0.891476099957948	0.0498902955570684	PPFIA4,SDC2,TPST1,VCAN
HALLMARK_PANCREAS_BETA_CELLS	0.025	0.535901788898842	0.891476099957948	0.0498902955570684	PAX4
HALLMARK_ADIPOGENESIS	0.025	0.327670683198529	0.63013592922794	0.20056575698133	CD36,NDUFB7,ACADM,EPHX2,GPX3
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.025	0.327670683198529	0.63013592922794	0.20056575698133	CFH,IFNAR2,LCP2,OASL,TNFAIP6
HALLMARK_APICAL_JUNCTION	0.025	0.327670683198529	0.63013592922794	0.20056575698133	MMP9,ITGB4,PECAM1,VCAN,MPZL1
HALLMARK_MTORC1_SIGNALING	0.025	0.327670683198529	0.63013592922794	0.20056575698133	FDXR,SLC6A6,BHLHE40,GLA,HSPA9
HALLMARK_INFLAMMATORY_RESPONSE	0.025	0.327670683198529	0.63013592922794	0.20056575698133	CXCL6,LCP2,PTPRE,LPAR1,TNFAIP6
HALLMARK_UV_RESPONSE_DN	0.0277777777777778	0.289719220240909	0.63013592922794	0.20056575698133	SDC2,SLC22A18,BHLHE40,LPAR1
HALLMARK_KRAS_SIGNALING_UP	0.025	0.327670683198529	0.63013592922794	0.20056575698133	CFH,MMP9,ANO1,PECAM1,HDAC9
HALLMARK_KRAS_SIGNALING_DN	0.025	0.327670683198529	0.63013592922794	0.20056575698133	EPHA5,MAST3,NR4A2,PAX4,RYR2
HALLMARK_HYPOXIA	0.03	0.176168395828696	0.495025254797975	0.305372644016697	PPFIA4,PYGM,SDC2,SLC6A6,BHLHE40,CDKN1C
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.03	0.176168395828696	0.495025254797975	0.305372644016697	MICB,AMFR,CHPT1,ABLIM1,BHLHE40,GLA
HALLMARK_ESTROGEN_RESPONSE_LATE	0.03	0.176168395828696	0.495025254797975	0.305372644016697	MICB,AMFR,CHPT1,TOP2A,CKB,GLA
HALLMARK_XENOBIOTIC_METABOLISM	0.03	0.176168395828696	0.495025254797975	0.305372644016697	CD36,CYP27A1,MAOA,SLC6A6,TMBIM6,TPST1
HALLMARK_FATTY_ACID_METABOLISM	0.0316455696202532	0.178209091727271	0.495025254797975	0.305372644016697	CD36,MAOA,ACADM,CPT1A,SUCLA2
HALLMARK_P53_PATHWAY	0.03	0.176168395828696	0.495025254797975	0.305372644016697	FGF13,GM2A,HIST3H2A,FDXR,ITGB4,PTPRE
HALLMARK_ANGIOGENESIS	0.0555555555555556	0.14776204394615	0.495025254797975	0.305372644016697	CXCL6,VCAN
HALLMARK_COAGULATION	0.036231884057971	0.119088714946723	0.495025254797975	0.305372644016697	CFH,MMP9,CTSB,PECAM1,PLEK
HALLMARK_BILE_ACID_METABOLISM	0.0357142857142857	0.161189131581198	0.495025254797975	0.305372644016697	CYP27A1,FDXR,SLC22A18,EPHX2
HALLMARK_G2M_CHECKPOINT	0.035	0.0827008128443869	0.460804193315885	0.33648357748922	KIF11,SYNCRIP,TOP2A,AMD1,LBR,MARCKS,RAD21
HALLMARK_APOPTOSIS	0.0372670807453416	0.0829447547968593	0.460804193315885	0.33648357748922	GSTM1,NEFH,FDXR,TOP2A,CFLAR,GPX3
HALLMARK_UV_RESPONSE_UP	0.0379746835443038	0.0772826994136685	0.460804193315885	0.33648357748922	LHX2,MAOA,TMBIM6,AMD1,GPX3,CDKN1C
HALLMARK_HEME_METABOLISM	0.035	0.0827008128443869	0.460804193315885	0.33648357748922	EIF2AK1,ACP5,CTSB,NFE2,SEC14L1,GAPVD1,HBB
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.04	0.0341704425065486	0.341704425065486	0.466349397059946	CXCL6,NR4A2,PTPRE,BHLHE40,CFLAR,MARCKS,PLEK,TNFAIP6
HALLMARK_COMPLEMENT	0.04	0.0341704425065486	0.341704425065486	0.466349397059946	CFH,CD36,CTSB,LCP2,ZFPM2,CR1,PLEK,SPOCK2
HALLMARK_ALLOGRAFT_REJECTION	0.04	0.0341704425065486	0.341704425065486	0.466349397059946	EIF5A,MMP9,IFNAR2,LCP2,TLR6,HDAC9,IGSF6,CD8A
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.045	0.012525968165895	0.313149204147375	0.5042486876984	NDUFB7,ACADM,ATP6V0E1,CPT1A,HADHA,HSPA9,SUCLA2,TIMM17A,UQCRB
HALLMARK_MYOGENESIS	0.05	0.00410399371427888	0.205199685713944	0.687823308729833	BIN1,CD36,DAPK2,ITGB4,PPFIA4,PYGM,ABLIM1,BHLHE40,CKB,GPX3
