NAME	RATIO	NOM_pval	ADJ_pval	NEG_LOG10_FDR	INTERSECT
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.005	0.3432428178041	1	0	PLEK
HALLMARK_HYPOXIA	0.005	0.3432428178041	1	0	CDKN1C
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0	1	1	0	
HALLMARK_MITOTIC_SPINDLE	0	1	1	0	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	1	1	0	
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0114942528735632	0.165133323355242	1	0	CD36
HALLMARK_DNA_REPAIR	0	1	1	0	
HALLMARK_G2M_CHECKPOINT	0	1	1	0	
HALLMARK_APOPTOSIS	0	1	1	0	
HALLMARK_NOTCH_SIGNALING	0	1	1	0	
HALLMARK_ESTROGEN_RESPONSE_EARLY	0	1	1	0	
HALLMARK_ESTROGEN_RESPONSE_LATE	0	1	1	0	
HALLMARK_ANDROGEN_RESPONSE	0	1	1	0	
HALLMARK_MYOGENESIS	0.005	0.3432428178041	1	0	CD36
HALLMARK_PROTEIN_SECRETION	0	1	1	0	
HALLMARK_INTERFERON_ALPHA_RESPONSE	0	1	1	0	
HALLMARK_INTERFERON_GAMMA_RESPONSE	0	1	1	0	
HALLMARK_APICAL_JUNCTION	0	1	1	0	
HALLMARK_APICAL_SURFACE	0	1	1	0	
HALLMARK_HEDGEHOG_SIGNALING	0	1	1	0	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0	1	1	0	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	1	1	0	
HALLMARK_MTORC1_SIGNALING	0	1	1	0	
HALLMARK_E2F_TARGETS	0	1	1	0	
HALLMARK_MYC_TARGETS_V1	0	1	1	0	
HALLMARK_MYC_TARGETS_V2	0	1	1	0	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0	1	1	0	
HALLMARK_INFLAMMATORY_RESPONSE	0	1	1	0	
HALLMARK_XENOBIOTIC_METABOLISM	0.005	0.3432428178041	1	0	CD36
HALLMARK_FATTY_ACID_METABOLISM	0.00632911392405063	0.281438780133439	1	0	CD36
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.005	0.3432428178041	1	0	NDUFB7
HALLMARK_GLYCOLYSIS	0	1	1	0	
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0	1	1	0	
HALLMARK_UV_RESPONSE_UP	0.00632911392405063	0.281438780133439	1	0	CDKN1C
HALLMARK_UV_RESPONSE_DN	0	1	1	0	
HALLMARK_ANGIOGENESIS	0	1	1	0	
HALLMARK_IL2_STAT5_SIGNALING	0.005	0.3432428178041	1	0	CDKN1C
HALLMARK_BILE_ACID_METABOLISM	0	1	1	0	
HALLMARK_PEROXISOME	0	1	1	0	
HALLMARK_ALLOGRAFT_REJECTION	0.005	0.3432428178041	1	0	CD8A
HALLMARK_SPERMATOGENESIS	0	1	1	0	
HALLMARK_KRAS_SIGNALING_UP	0	1	1	0	
HALLMARK_KRAS_SIGNALING_DN	0	1	1	0	
HALLMARK_PANCREAS_BETA_CELLS	0	1	1	0	
HALLMARK_TGF_BETA_SIGNALING	0.0185185185185185	0.105595670476542	0.87996392063785	0.0555351339738215	CDKN1C
HALLMARK_ADIPOGENESIS	0.01	0.0602933376814053	0.602933376814053	0.219730674063082	CD36,NDUFB7
HALLMARK_P53_PATHWAY	0.01	0.0602933376814053	0.602933376814053	0.219730674063082	GM2A,HIST3H2A
HALLMARK_HEME_METABOLISM	0.01	0.0602933376814053	0.602933376814053	0.219730674063082	ACP5,CTSB
HALLMARK_COAGULATION	0.0144927536231884	0.0306064007739823	0.602933376814053	0.219730674063082	CTSB,PLEK
HALLMARK_COMPLEMENT	0.015	0.00639819861041568	0.319909930520784	0.4949722785047	CD36,CTSB,PLEK
