NAME	RATIO	NOM_pval	ADJ_pval	NEG_LOG10_FDR	INTERSECT
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0405405405405405	0.988376101640503	1	0	CLU,FADS2,TMEM97
HALLMARK_MITOTIC_SPINDLE	0.1	0.642757850192716	1	0	CDC42,DOCK4,NUMA1,BUB1,AKAP13,ARHGDIA,ARHGEF12,CDC27,CTTN,EPB41,EZR,LLGL1,MARCKS,PXN,SMC3,SMC4,YWHAE,TLK1,WASL,NF1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	1	1	0	
HALLMARK_TGF_BETA_SIGNALING	0.0555555555555556	0.935719919033261	1	0	CDKN1C,PPM1A,THBS1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.103448275862069	0.581110216439194	1	0	CCR1,CD36,FAS,HMOX1,IL1R1,IL6ST,ITGB3,STAM2,STAT1
HALLMARK_DNA_REPAIR	0.04	0.999159726880784	1	0	GTF2H5,SRSF6,AK1,CDA,NME1,POLR2C
HALLMARK_NOTCH_SIGNALING	0.0625	0.867293588365862	1	0	TCF7L2,CCND1
HALLMARK_PROTEIN_SECRETION	0.0833333333333333	0.811489773654722	1	0	ATP7A,AP2B1,GNAS,ABCA1,IGF2R,TPD52,LAMP2,RAB2A
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0824742268041237	0.820424449070529	1	0	RTP4,TRIM14,CASP1,IFIH1,IL15,TXNIP,IFI44L,OAS1
HALLMARK_APICAL_JUNCTION	0.08	0.91276091330223	1	0	ICAM4,MMP9,PTPRC,VCAN,CD86,CRAT,FYB,ICAM1,JUP,MAPK14,MYL9,B4GALT1,MPZL1,WASL,NF1,SORBS3
HALLMARK_APICAL_SURFACE	0.0909090909090909	0.699258048943811	1	0	APP,GSTM3,B4GALT1,GATA3
HALLMARK_HEDGEHOG_SIGNALING	0.0833333333333333	0.74979909562351	1	0	CDK5R1,VEGFA,NF1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.079646017699115	0.859761504815501	1	0	TUBB2A,NPM1,DDIT4,DNAJB9,EIF2S1,EIF4E,SLC7A5,VEGFA,ASNS
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0285714285714286	0.999354174263509	1	0	ARHGDIA,EIF4E,UBE2N
HALLMARK_E2F_TARGETS	0.09	0.80342903767059	1	0	HELLS,GSPT1,LUC7L3,RRM2,SYNCRIP,DEK,EIF2S1,ILF3,NAP1L1,NME1,PRDX4,RAD21,SMC3,SMC4,TMPO,USP1,E2F8,MCM4
HALLMARK_MYC_TARGETS_V2	0.0689655172413793	0.876416697069464	1	0	NPM1,HSPE1,TMEM97,MCM4
HALLMARK_FATTY_ACID_METABOLISM	0.0822784810126582	0.868770430129735	1	0	SDHD,HSP90AA1,ACADM,ACOX1,ALDH1A1,CA2,CD36,CRAT,MDH1,MGLL,SUCLA2,VNN1,GRHPR
HALLMARK_GLYCOLYSIS	0.075	0.947034094187081	1	0	TXN,VCAN,AGL,DDIT4,ENO1,GLRX,HS2ST1,MDH1,MXI1,TGFA,VEGFA,ZNF292,B4GALT1,LDHC,TPST1
HALLMARK_BILE_ACID_METABOLISM	0.0982142857142857	0.650462904313132	1	0	ABCA1,ALDH1A1,ATXN1,CAT,FADS2,KLF1,RXRA,SLC29A1,NPC1,CYP27A1,SLC22A18
HALLMARK_PEROXISOME	0.0576923076923077	0.970932007941378	1	0	ACOX1,ALDH1A1,ATXN1,CAT,CRAT,SMARCC1
HALLMARK_SPERMATOGENESIS	0.0740740740740741	0.918786626149136	1	0	BUB1,AGFG1,GSTM3,HBZ,PCSK1N,STAM2,LDHC,IL12RB2,HIST1H1T,MAP7
HALLMARK_KRAS_SIGNALING_DN	0.035	0.999956505197953	1	0	TCL1A,KRT1,CDKAL1,FAM46C,SLC16A7,ZBTB16,IFI44L
HALLMARK_PANCREAS_BETA_CELLS	0	1	1	0	
HALLMARK_UV_RESPONSE_UP	0.107594936708861	0.509681152327913	0.943853985792432	0.0250951858601744	GPX3,OLFM1,CDKN1C,ATP6V1C1,BSG,CA2,HMOX1,HSPA13,ICAM1,IL6ST,NAT1,PPAT,PPP1R2,SLC6A8,STIP1,RET,ASNS
HALLMARK_COAGULATION	0.108695652173913	0.497176517854639	0.943853985792432	0.0250951858601744	CFD,CTSB,FN1,C1QA,MMP9,CLU,ITGB3,PLEK,SPARC,THBD,THBS1,CFH,LAMP2,HNF4A,TIMP1
HALLMARK_MTORC1_SIGNALING	0.11	0.456831020453695	0.91366204090739	0.0392144179544953	ATP6V1D,EPRS,PPA1,RRM2,BUB1,DDIT4,ENO1,FADS2,FGL2,GLRX,HSPE1,IFRD1,NAMPT,PSMA4,PSMC6,SLC2A3,SLC6A6,SLC7A5,STIP1,TMEM97,MCM4,ASNS
HALLMARK_IL2_STAT5_SIGNALING	0.11	0.456831020453695	0.91366204090739	0.0392144179544953	COCH,NCOA3,SPP1,CDKN1C,RABGAP1L,RORA,TGM2,TNFSF10,WLS,BCL2L1,CA2,CD48,CD86,FGL2,GATA1,IGF1R,IGF2R,MXD1,PLEC,PRNP,SLC2A3,CST7
HALLMARK_ESTROGEN_RESPONSE_LATE	0.115	0.366590104861695	0.796935010568902	0.0985770935375409	OLFM1,AMFR,ABHD2,BAG1,BLVRB,CA2,CHPT1,CLIC3,COX6C,DLG5,IL6ST,JAK2,MYOF,NRIP1,SIAH2,SLC29A1,SLC7A5,DHRS2,RET,MICB,PLA2G16,CACNA2D2,CCND1
