NAME	RATIO	NOM_pval	ADJ_pval	NEG_LOG10_FDR	INTERSECT
HALLMARK_MITOTIC_SPINDLE	0.04	0.872134734986471	0.997602439436318	0.0010424975483224	BUB1,EPB41L2,BIN1,KIF11,NEK2,NF1,PDLIM5,TOP2A
HALLMARK_DNA_REPAIR	0.02	0.991223510793016	0.997602439436318	0.0010424975483224	POLR2C,POLD1,TP53
HALLMARK_PROTEIN_SECRETION	0.03125	0.907140224610012	0.997602439436318	0.0010424975483224	ATP7A,GLA,LAMP2
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0206185567010309	0.97404855466742	0.997602439436318	0.0010424975483224	CXCL11,OAS1
HALLMARK_HEDGEHOG_SIGNALING	0.0277777777777778	0.871478140256798	0.997602439436318	0.0010424975483224	NF1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0176991150442478	0.988290646223419	0.997602439436318	0.0010424975483224	TUBB2A,ASNS
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.00952380952380952	0.997602439436318	0.997602439436318	0.0010424975483224	PTPN11
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.04	0.872134734986471	0.997602439436318	0.0010424975483224	SDHD,ACAA2,ATP6V0E1,COX15,IDH3B,NDUFB7,PDP1,PMPCA
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.0204081632653061	0.938996794006806	0.997602439436318	0.0010424975483224	GPX3
HALLMARK_PANCREAS_BETA_CELLS	0.025	0.897786936432191	0.997602439436318	0.0010424975483224	PAX4
HALLMARK_KRAS_SIGNALING_DN	0.045	0.78486476413055	0.981080955163187	0.00829515477087275	CD40LG,CHST2,IGFBP2,THNSL2,CAMK1D,EPHA5,NR4A2,PAX4,RYR2
HALLMARK_APICAL_SURFACE	0.0454545454545455	0.707709730749505	0.907320167627571	0.0422394356541618	B4GALT1,ADIPOR2
HALLMARK_ADIPOGENESIS	0.05	0.674656898076221	0.887706444837133	0.0517306270870998	ACADL,GPX3,ACAA2,ADIPOR2,APOE,CD36,CRAT,DGAT1,NDUFB7,RIOK3
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.05	0.674656898076221	0.887706444837133	0.0517306270870998	C1R,CFH,CXCL11,IRF5,NCOA3,BPGM,CD40,IFNAR2,STAT1,TNFAIP6
HALLMARK_MYC_TARGETS_V1	0.055	0.550615910139556	0.764744319638272	0.116483740180375	EXOSC7,TUFM,EIF4H,MCM4,MCM5,PA2G4,PRPF31,SNRPA,SRPK1,SYNCRIP,UBE2L3
HALLMARK_PEROXISOME	0.0576923076923077	0.516330635816357	0.737615194023367	0.132170145896207	ALDH9A1,CLN6,EHHADH,PEX11A,CRAT,TOP2A
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0675675675675676	0.387830682348433	0.624905129984151	0.204185910098691	JAG1,NSDHL,TMEM97,EBP,FADS2
HALLMARK_APICAL_JUNCTION	0.06	0.424935488389223	0.624905129984151	0.204185910098691	B4GALT1,EPB41L2,ICAM4,ITGB4,KCNH2,MPZL2,CRAT,DHX16,JAM3,JUP,NF1,SDC3
HALLMARK_INFLAMMATORY_RESPONSE	0.06	0.424935488389223	0.624905129984151	0.204185910098691	CHST2,CXCL11,ICAM4,SLC11A2,ADM,CD40,CLEC5A,ITGB3,LPAR1,PTPRE,TIMP1,TNFAIP6
HALLMARK_GLYCOLYSIS	0.06	0.424935488389223	0.624905129984151	0.204185910098691	ALDH9A1,B4GALT1,CHST2,CLN6,LDHC,NSDHL,EXT2,PLOD2,PPFIA4,SDC2,SDC3,TPST1
HALLMARK_TGF_BETA_SIGNALING	0.0740740740740741	0.34786702918999	0.579778381983317	0.236737982082759	BMPR2,CDKN1C,BMPR1A,SMAD3
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0689655172413793	0.347521530477748	0.579778381983317	0.236737982082759	CXCL11,PTPN11,CD36,ITGB3,LTB,STAT1
HALLMARK_SPERMATOGENESIS	0.0666666666666667	0.327439053248443	0.579778381983317	0.236737982082759	BUB1,LDHC,LPIN1,PIAS2,IL12RB2,HIST1H1T,JAM3,MAP7,NEK2
HALLMARK_P53_PATHWAY	0.065	0.309349847733726	0.572870088395789	0.241943853232647	CCND2,CCND3,GM2A,ITGB4,CYFIP2,FDXR,HIST3H2A,INHBB,PRMT2,PTPRE,RRAD,TP53,TPD52L1
HALLMARK_BILE_ACID_METABOLISM	0.0714285714285714	0.276070695794018	0.530905184219265	0.274983033809668	ALDH9A1,CYP27A1,NPC1,PEX11A,FADS2,FDXR,HSD17B6,SLC22A18
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.0952380952380952	0.199374711127303	0.428463961632948	0.368085700980334	CCND2,JAG1,ADAM17,TP53
HALLMARK_E2F_TARGETS	0.07	0.212191489576931	0.428463961632948	0.368085700980334	DIAPH3,E2F8,HELLS,CDC25B,CDCA8,DDX39A,MCM4,MCM5,PA2G4,POLD1,PTTG1,SYNCRIP,TOP2A,TP53
HALLMARK_MYC_TARGETS_V2	0.0862068965517241	0.214231980816474	0.428463961632948	0.368085700980334	RCL1,TMEM97,MCM4,MCM5,PA2G4
HALLMARK_ALLOGRAFT_REJECTION	0.07	0.212191489576931	0.428463961632948	0.368085700980334	CCND2,CCND3,CD40LG,EIF5A,CD40,CD8A,IFNAR2,IL16,INHBB,LTB,MAP4K1,RPS19,STAT1,TIMP1
HALLMARK_HYPOXIA	0.075	0.137106447143009	0.326443921769069	0.486191413341424	ATP7A,CDKN1C,CHST2,CP,LDHC,ADM,BGN,GRHPR,NR3C1,PPFIA4,PYGM,SDC2,SDC3,SLC2A3,SLC6A6
HALLMARK_G2M_CHECKPOINT	0.075	0.137106447143009	0.326443921769069	0.486191413341424	BUB1,DR1,ATRX,CCND1,CDC25B,DDX39A,E2F2,KIF11,MCM5,NEK2,PTTG1,SFPQ,SMAD3,SYNCRIP,TOP2A
HALLMARK_MTORC1_SIGNALING	0.075	0.137106447143009	0.326443921769069	0.486191413341424	BUB1,GLA,TMEM97,ADIPOR2,ASNS,DDX39A,EBP,FADS2,FDXR,GGA2,LTA4H,MCM4,PLOD2,SLC2A3,SLC6A6
HALLMARK_IL2_STAT5_SIGNALING	0.075	0.137106447143009	0.326443921769069	0.486191413341424	BMPR2,CCND2,CCND3,CDKN1C,CISH,EMP1,NCOA3,SPP1,COCH,AGER,BCL2L1,CKAP4,IGF1R,LTB,SLC2A3
HALLMARK_ANDROGEN_RESPONSE	0.0891089108910891	0.103340845133782	0.303943662158182	0.517206908105912	B4GALT1,CCND3,H1F0,MAK,NKX3-1,CCND1,MAP7,PA2G4,PDLIM5
HALLMARK_NOTCH_SIGNALING	0.125	0.0969222456064189	0.302882017520059	0.518726510502206	HES1,JAG1,TCF7L2,CCND1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.08	0.0834867371230087	0.278289123743362	0.555503766682642	B4GALT1,CXCL11,HES1,JAG1,TUBB2A,BCL2A1,CCND1,CFLAR,F2RL1,NR4A2,PDLIM5,PLEK,PTPRE,SLC2A3,SMAD3,TNFAIP6
HALLMARK_COMPLEMENT	0.08	0.0834867371230087	0.278289123743362	0.555503766682642	C1R,CD40LG,CFH,CP,CTSB,F7,FN1,TFPI2,CD36,HNF4A,LAMP2,LTA4H,PDP1,PLEK,TIMP1,ZFPM2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.08	0.0834867371230087	0.278289123743362	0.555503766682642	CALD1,FN1,GLIPR1,IGFBP2,MMP1,PRRX1,SPP1,TFPI2,TPM2,BGN,FSTL3,ITGB3,PDLIM4,PLOD2,TIMP1,TPM1
